UserId,Address,TotalRequests
cust-id-001,"Giza, Egypt",1
cust-id-002,"Cairo, Egypt",4
cust-id-003,"Cairo, Egypt",1
cust-id-004,"Cairo, Egypt",4
cust-id-005,"Giza, Egypt",3
cust-id-006,"Giza, Egypt",5
cust-id-007,"Giza, Egypt",1
cust-id-008,"Mansoura, Egypt",0
cust-id-009,"Alexandria, Egypt",0
cust-id-010,"Mansoura, Egypt",0
cust-id-011,"Tanta, Egypt",2
cust-id-012,"Cairo, Egypt",5
cust-id-013,"Giza, Egypt",0
cust-id-014,"Aswan, Egypt",2
cust-id-015,"Giza, Egypt",5
cust-id-016,"Aswan, Egypt",1
cust-id-017,"Mansoura, Egypt",3
cust-id-018,"Aswan, Egypt",2
cust-id-019,"Alexandria, Egypt",3
cust-id-020,"Tanta, Egypt",5
cust-id-021,"Mansoura, Egypt",3
cust-id-022,"Giza, Egypt",1
cust-id-023,"Aswan, Egypt",4
cust-id-024,"Alexandria, Egypt",1
cust-id-025,"Cairo, Egypt",0
cust-id-026,"Giza, Egypt",5
cust-id-027,"Mansoura, Egypt",3
cust-id-028,"Alexandria, Egypt",4
cust-id-029,"Alexandria, Egypt",5
cust-id-030,"Mansoura, Egypt",1
cust-id-031,"Tanta, Egypt",1
cust-id-032,"Alexandria, Egypt",5
cust-id-033,"Giza, Egypt",2
cust-id-034,"Cairo, Egypt",4
cust-id-035,"Cairo, Egypt",2
cust-id-036,"Giza, Egypt",4
cust-id-037,"Cairo, Egypt",4
cust-id-038,"Mansoura, Egypt",4
cust-id-039,"Tanta, Egypt",3
cust-id-040,"Aswan, Egypt",2
cust-id-041,"Tanta, Egypt",3
cust-id-042,"Cairo, Egypt",2
cust-id-043,"Giza, Egypt",4
cust-id-044,"Aswan, Egypt",5
cust-id-045,"Cairo, Egypt",2
cust-id-046,"Alexandria, Egypt",5
cust-id-047,"Giza, Egypt",5
cust-id-048,"Giza, Egypt",3
cust-id-049,"Cairo, Egypt",5
cust-id-050,"Mansoura, Egypt",3
cust-id-051,"Mansoura, Egypt",5
cust-id-052,"Giza, Egypt",1
cust-id-053,"Mansoura, Egypt",1
cust-id-054,"Cairo, Egypt",3
cust-id-055,"Aswan, Egypt",4
cust-id-056,"Giza, Egypt",3
cust-id-057,"Mansoura, Egypt",0
cust-id-058,"Mansoura, Egypt",2
cust-id-059,"Aswan, Egypt",5
cust-id-060,"Giza, Egypt",2
